Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html,KC-46 (KC-X),Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,15W1,15W1 (WEATHER AND ENVIRONMENTAL SCIENCES),https://paladindanse111.github.io/AFSC-PDFs/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,21M1,21M1 (MUNITIONS AND MISSILE MAINTENANCE),https://paladindanse111.github.io/AFSC-PDFs/21M.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1E,32E1E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1F,32E1F (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1G,32E1G (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1J,32E1J (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,64P1,64P1 (CONTRACTING),https://paladindanse111.github.io/AFSC-PDFs/64P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html,B-1,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H1,13H1 (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-17,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H1,13H1 (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-20/C-37,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H1,13H1 (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-32,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H1,13H1 (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-40,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H1,13H1 (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,F-16,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H1,13H1 (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,UH-1N,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H1,13H1 (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,VC-25,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-17,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-20/C-37,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-32,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-40,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,F-16,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,UH-1N,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,VC-25,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html,C-17,Active Duty
