Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type,First_Duty_Station
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,015A3,"OPERATIONS ANALYSIS OFFICER, QUALIFIED",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017D3W,"WARFIGHTER COMM, WAR COMM",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017D3W,"WARFIGHTER COMM, WAR COMM",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017D3W,"WARFIGHTER COMM, WAR COMM",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017D3W,"WARFIGHTER COMM, WAR COMM",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017D3W,"WARFIGHTER COMM, WAR COMM",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017D3W,"WARFIGHTER COMM, WAR COMM",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017S3A,"CYBERSPACE EFFECTS OPERATIONS, OFFENSIVE CYBERSPACE OPERATOR",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017S3A,"CYBERSPACE EFFECTS OPERATIONS, OFFENSIVE CYBERSPACE OPERATOR",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017S3A,"CYBERSPACE EFFECTS OPERATIONS, OFFENSIVE CYBERSPACE OPERATOR",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017S3A,"CYBERSPACE EFFECTS OPERATIONS, OFFENSIVE CYBERSPACE OPERATOR",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017S3A,"CYBERSPACE EFFECTS OPERATIONS, OFFENSIVE CYBERSPACE OPERATOR",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,017S3A,"CYBERSPACE EFFECTS OPERATIONS, OFFENSIVE CYBERSPACE OPERATOR",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3B,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, RECON",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3B,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, RECON",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3B,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, RECON",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3B,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, RECON",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3B,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, RECON",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3B,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, RECON",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3C,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, SPECIAL OPS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3C,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, SPECIAL OPS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3C,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, SPECIAL OPS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3C,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, SPECIAL OPS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3C,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, SPECIAL OPS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3C,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, SPECIAL OPS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3Z,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, OTHER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3Z,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, OTHER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3Z,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, OTHER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3Z,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, OTHER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3Z,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, OTHER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018E3Z,"EXPERIMENTAL TEST REMOTELY PILOTED AIRCRAFT PILOT, OTHER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018R3L,"RECON REMOTELY PILOTED AIRCRAFT PILOT, MPRIS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018R3L,"RECON REMOTELY PILOTED AIRCRAFT PILOT, MPRIS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018R3L,"RECON REMOTELY PILOTED AIRCRAFT PILOT, MPRIS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018R3L,"RECON REMOTELY PILOTED AIRCRAFT PILOT, MPRIS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018R3L,"RECON REMOTELY PILOTED AIRCRAFT PILOT, MPRIS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,018R3L,"RECON REMOTELY PILOTED AIRCRAFT PILOT, MPRIS",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,021A3,AIRCRAFT MAINTENANCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,021A3,AIRCRAFT MAINTENANCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,021A3,AIRCRAFT MAINTENANCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,021A3,AIRCRAFT MAINTENANCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,021A3,AIRCRAFT MAINTENANCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,021A3,AIRCRAFT MAINTENANCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,035P4,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,035P4,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,035P4,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,035P4,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,035P4,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,035P4,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3,FORCE SUPPORT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3,FORCE SUPPORT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3,FORCE SUPPORT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3,FORCE SUPPORT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3,FORCE SUPPORT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3,FORCE SUPPORT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,F-16,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-17,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-21,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,E-4,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,043E3A,"BIOENVIRONMENTAL ENGINEER, GENERAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,C-12,Active Duty,Yes
EDWARDS AFB,"34°55'25.00""N","117°53'29.00""W",11S MU 18582 64934,043E3A,"BIOENVIRONMENTAL ENGINEER, GENERAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,B-2,Active Duty,Yes
