Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type
MOUNTAIN HOME AFB,"43°03'59""N","115°51'18""W",11T NH 93226 68823,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MOUNTAIN_HOME_AFB.html,,Active Duty
NELLIS AFB,"36°14'25""N","115°03'14""W",11S PA 74874 12355,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_NELLIS_AFB.html,,Active Duty
OFFUTT AFB,"41°07'25""N","95°54'52""W",15T TF 55334 56573,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_OFFUTT_AFB.html,,Active Duty
OSAN AB ABS,"37°5'26.00""N","127°1'47.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
OTTAWA (CANADA),"45°27'0.00""N","75°42'0.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
PATRICK SFB,"28°14'21""N","80°36'26""W",17R NM 38533 23759,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PATRICK_SFB.html,,Active Duty
PEASE AIR NATIONAL GUARD BASE,"43°4'41.00""N","70°49'24.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
PENSACOLA NAS CHE ANX,"30°21'10.00""N","87°16'5.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
PENTAGON,"38°52'15""N","77°03'21""W",18S UJ 21650 04451,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PENTAGON.html,,Active Duty
PETERSON SFB,"38°49'32""N","104°41'58""W",13S EC 26089 97461,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PETERSON_SFB.html,,Active Duty
POPE AAF ABS,"35°10'15.00""N","79°0'52.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
PRESIDIO OF MONT AIN,"36°36'4.00""N","121°54'6.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
RAF FAIRFORD,"51°40'56.00""N","1°47'24.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
RAF LAKENHEATH,"52°24'33.00""N","0°33'40.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
RAF MILDENHALL,"52°21'43.00""N","0°29'11.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
RAMSTEIN ABS,"49°26'10.00""N","7°36'23.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
"RESTON, VA (USA)","38°55'0.00""N","77°20'60.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
ROBINS AFB,"32°38'23""N","83°35'30""W",17S KS 56883 14314,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ROBINS_AFB.html,,Active Duty
ROME LAB MTC,"43° 13' 57""N","75° 25' 0""W",18T VN 66166 86718,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ROME_LAB_MTC.html,,Active Duty
ROSECRANS AIR NATIONAL GUARD BASE,"39°46'19.00""N","94°54'35.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
SCHRIEVER SFB,"38°48'12""N","104°31'32""W",13S EC 41196 95059,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SCHRIEVER_SFB.html,,Active Duty
SCOTT AFB,"38°32'29""N","89°51'18""W",16S BH 51169 69750,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SCOTT_AFB.html,,Active Duty
"SEONGNAM (KOREA, REPUBLIC OF)","37°26'42.00""N","127°8'20.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
SEOUL AB ABS,"37°26'46.00""N","127°6'52.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
SEYMOUR JOHNSON AFB,"35°20'24""N","77°57'41""W",18S TE 30850 14774,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SEYMOUR_JOHNSON_AFB.html,,Active Duty
SHAPE ADM,"50°30'0.00""N","3°58'60.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
SHAW AFB,"33°58'02""N","80°29'05""W",17S NT 47603 58641,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SHAW_AFB.html,,Active Duty
SPANGDAHLEM AB ABS,"49°58'35.00""N","6°41'55.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
"SPRINGFIELD, VA (USA)","38°45'0.00""N","77°13'0.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
ST LOUIS AFS,"38°43'58.00""N","89°48'24.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
STUTTGART VAIHING (GERMANY),"48°43'60.00""N","9°5'60.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
"TAMPA, FL (USA)","27°58'60.00""N","82°28'60.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
TINKER AFB,"35°25'09""N","97°24'15""W",14S PE 44882 20698,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TINKER_AFB.html,,Active Duty
TRAVIS AFB,"38°16'09""N","121°56'51""W",10S EH 92069 36204,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TRAVIS_AFB.html,,Active Duty
TYNDALL AFB,"30°04'47""N","85°36'26""W",16R FU 34229 28437,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TYNDALL_AFB.html,,Active Duty
"TYSONS CORNER, VA (USA)","38°55'0.00""N","77°13'60.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
VANDENBERG SFB,"34°44'31""N","120°34'20""W",10S GD 22255 47110,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_VANDENBERG_SFB.html,,Active Duty
"WASHINGTON, DC (USA)","38°55'0.00""N","77°4'0.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
WHEELER AAF,"21°29'1.00""N","158°2'23.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
WHITEMAN AFB,"38°43'44""N","93°33'37""W",15S VC 51299 86840,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_WHITEMAN_AFB.html,,Active Duty
WIESBADEN CLAY KS AIN,"50°3'5.00""N","8°19'56.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
WILL ROGERS AIR NATIONAL GUARD BASE,"35°23'35.00""N","97°36'3.00""W",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
WRIGHT-PATTERSON AFB,"39°48'37""N","84°01'55""W",16S GK 54072 10915,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_WRIGHT-PATTERSON_AFB.html,,Active Duty
YOKOTA ABS,"35°44'55.00""N","139°20'55.00""E",,14N,14N (INTELLIGENCE),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/14N.html,,,Active Duty
"ALEXANDRIA, VA (USA)","38°49'0.00""N","77°9'0.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BARKSDALE_AFB.html,,Active Duty
BUCKLEY SFB,"39°42'09""N","104°45'29""W",13S ED 20741 94766,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BUCKLEY_SFB.html,,Active Duty
"CAMBRIDGE, MA (USA)","42°22'0.00""N","71°5'60.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
"CHANTILLY, VA (USA)","38°53'18.00""N","77°25'54.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
CREECH AFB,"36°34'41""N","115°39'29""W",11S PA 20060 48904,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CREECH_AFB.html,,Active Duty
DAVIS-MONTHAN AFB,"32°10'14""N","110°52'39""W",12S WA 11549 59347,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DAVIS-MONTHAN_AFB.html,,Active Duty
DYESS AFB,"32°25'17""N","99°50'31""W",14S MA 20838 87456,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DYESS_AFB.html,,Active Duty
EDWARDS AFB,"34°55'25""N","117°53'29""W",11S MU 18582 64934,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,,Active Duty
EGLIN AFB,"30°27'49""N","86°33'11""W",16R EU 42905 70243,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EGLIN_AFB.html,,Active Duty
EINSIEDLERHOF STG,"49°25'60.00""N","7°40'0.00""E",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
ELLSWORTH AFB,"44°08'54""N","103°05'15""W",13T FJ 52951 90126,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ELLSWORTH_AFB.html,,Active Duty
FT BELVOIR AIN,"38°40'60.00""N","77°7'60.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
FT GEORGE MEADE AIN,"39°6'0.00""N","76°43'0.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
HANSCOM AFB,"42°27'23""N","71°16'35""W",19T CH 12823 02961,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HANSCOM_AFB.html,,Active Duty
HILL AFB,"41°06'36""N","111°58'56""W",12T VL 17530 51433,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HILL_AFB.html,,Active Duty
HURLBURT FIELD,"30°25'23""N","86°41'41""W",16R EU 29317 65704,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HURLBURT_FIELD.html,,Active Duty
JB ELMENDORF-RICHARDSON,"61°15'44""N","149°41'53""W",6V UN 55306 94983,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_ELMENDORF-RICHARDSON.html,,Active Duty
JB LANGLEY-EUSTIS,"37°05'00""N","76°21'33""W",18S UG 79195 04980,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_LANGLEY-EUSTIS.html,,Active Duty
JB MCGUIRE-DIX-LAKEHURST,"40°02'15""N","74°35'18""W",18T WK 35120 32000,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_MCGUIRE-DIX-LAKEHURST.html,,Active Duty
JB PEARL HARBOR-HICKAM,"21°20'15""N","157°57'43""W",4Q FJ 07643 59855,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_PEARL_HARBOR-HICKAM.html,,Active Duty
JBMDL DIX AIN,"40°1'0.00""N","74°52'0.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
JBSA FT SAM HOUSTON,"29°26'59""N","98°27'02""W",14R NT 53282 57938,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JBSA_FT_SAM_HOUSTON.html,,Active Duty
JBSA LACKLAND,"29°23'14""N","98°37'16""W",14R NT 36765 50947,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JBSA_LACKLAND.html,,Active Duty
JBSA RANDOLPH,"29°31'57""N","98°16'45""W",14R NT 69847 67200,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JBSA_RANDOLPH.html,,Active Duty
KEESLER AFB,"30°24'34""N","88°55'34""W",16R CU 14981 65731,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_KEESLER_AFB.html,,Active Duty
KIRTLAND AFB,"35°00'39""N","106°30'44""W",13S CU 62019 75289,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_KIRTLAND_AFB.html,,Active Duty
LOS ANGELES,"33°54'59""N","118°22'58""W",11S LT 72173 53746,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_LOS_ANGELES.html,,Active Duty
MAUI ISLAND ADM,"20°45'0.00""N","156°15'0.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
MAXWELL-GUNTER AFB,"32°22'43""N","86°21'44""W",16S EA 59993 82581,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MAXWELL-GUNTER_AFB.html,,Active Duty
NELLIS AFB,"36°14'25""N","115°03'14""W",11S PA 74874 12355,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_NELLIS_AFB.html,,Active Duty
OSAN AB ABS,"37°5'26.00""N","127°1'47.00""E",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
PATRICK SFB,"28°14'21""N","80°36'26""W",17R NM 38533 23759,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PATRICK_SFB.html,,Active Duty
PENTAGON,"38°52'15""N","77°03'21""W",18S UJ 21650 04451,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PENTAGON.html,,Active Duty
PETERSON SFB,"38°49'32""N","104°41'58""W",13S EC 26089 97461,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PETERSON_SFB.html,,Active Duty
RAMSTEIN ABS,"49°26'10.00""N","7°36'23.00""E",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
"RICHMOND, VA (USA)","37°34'0.00""N","77°25'60.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
ROBINS AFB,"32°38'23""N","83°35'30""W",17S KS 56883 14314,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ROBINS_AFB.html,,Active Duty
ROME LAB MTC,"43° 13' 57""N","75° 25' 0""W",18T VN 66166 86718,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ROME_LAB_MTC.html,,Active Duty
"SAN ANTONIO, TX (USA)","29°28'0.00""N","98°31'0.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
SCHRIEVER SFB,"38°48'12""N","104°31'32""W",13S EC 41196 95059,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SCHRIEVER_SFB.html,,Active Duty
SCOTT AFB,"38°32'29""N","89°51'18""W",16S BH 51169 69750,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SCOTT_AFB.html,,Active Duty
SHAW AFB,"33°58'02""N","80°29'05""W",17S NT 47603 58641,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SHAW_AFB.html,,Active Duty
TINKER AFB,"35°25'09""N","97°24'15""W",14S PE 44882 20698,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TINKER_AFB.html,,Active Duty
TYNDALL AFB,"30°04'47""N","85°36'26""W",16R FU 34229 28437,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TYNDALL_AFB.html,,Active Duty
USAF ACADEMY,"39°0'0.00""N","104°52'60.00""W",,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,,,Active Duty
VANDENBERG SFB,"34°44'31""N","120°34'20""W",10S GD 22255 47110,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_VANDENBERG_SFB.html,,Active Duty
WHITEMAN AFB,"38°43'44""N","93°33'37""W",15S VC 51299 86840,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_WHITEMAN_AFB.html,,Active Duty
WRIGHT-PATTERSON AFB,"39°48'37""N","84°01'55""W",16S GK 54072 10915,15A,15A (OPERATIONS ANALYSIS),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_WRIGHT-PATTERSON_AFB.html,,Active Duty
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ANDERSEN_AFB.html,,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ANDREWS_JB.html,,Active Duty
ASHEVILLE WAE,"34°53'60.00""N","82°13'0.00""W",,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,,,Active Duty
AVIANO ABS,"46°1'48.00""N","12°35'56.00""E",,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,,,Active Duty
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BARKSDALE_AFB.html,,Active Duty
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BEALE_AFB.html,,Active Duty
"BOULDER, CO (USA)","40°0'54.00""N","105°16'12.00""W",,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,,,Active Duty
CAMP HUMPHREYS AIN,"36°55'0.00""N","127°2'60.00""E",,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,,,Active Duty
CANNON AFB,"34°23'20""N","103°19'05""W",13S FU 54620 06558,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CANNON_AFB.html,,Active Duty
CAPE CANAVERAL SFS,"28°29'19""N","80°34'22""W",17R NM 41814 51404,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CAPE_CANAVERAL_SFS.html,,Active Duty
COLUMBUS AFB,"33°37'38""N","88°26'51""W",16S CC 65739 21763,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_COLUMBUS_AFB.html,,Active Duty
CREECH AFB,"36°34'41""N","115°39'29""W",11S PA 20060 48904,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CREECH_AFB.html,,Active Duty
DAVIS-MONTHAN AFB,"32°10'14""N","110°52'39""W",12S WA 11549 59347,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DAVIS-MONTHAN_AFB.html,,Active Duty
DYESS AFB,"32°25'17""N","99°50'31""W",14S MA 20838 87456,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DYESS_AFB.html,,Active Duty
EDWARDS AFB,"34°55'25""N","117°53'29""W",11S MU 18582 64934,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,,Active Duty
EGLIN AFB,"30°27'49""N","86°33'11""W",16R EU 42905 70243,15W,15W (WEATHER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EGLIN_AFB.html,,Active Duty
