afsc,grd,ilc_title,billet_count,afsc_title
B011K3Y,MAJOR,SHEPPARD,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, GENERAL"
B011K3Z,LTCOL,USAF ACADEMY,4,"SQ OPS/OPS SPT OFF, TRAINER PILOT, OTHER"
B011K3Z,MAJOR,PUEBLO,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, OTHER"
B011M3A,LTCOL,DOVER,1,"SQ OPS/OPS SPT OFF, MOBILILTY PILOT, C-5"
B011M3A,LTCOL,TRAVIS,1,"SQ OPS/OPS SPT OFF, MOBILILTY PILOT, C-5"
B011M3C,LTCOL,DYESS,3,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-130J"
B011M3C,LTCOL,LITTLE ROCK,6,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-130J"
B011M3C,LTCOL,RAMSTEIN,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-130J"
B011M3C,LTCOL,YOKOTA,2,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-130J"
B011M3E,MAJOR,JB ANDREWS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, VC-25"
B011M3F,LTCOL,ALTUS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,LTCOL,FAIRCHILD,4,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,LTCOL,KADENA,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,LTCOL,MACDILL,2,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,LTCOL,MCCONNELL,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,LTCOL,MILDENHALL,2,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,MAJOR,BIRMINGHAM,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,MAJOR,EIELSON,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,MAJOR,FAIRCHILD,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,MAJOR,MARCH,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3F,MAJOR,SCOTT,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, KC-135"
B011M3J,LTCOL,DATA MASKED,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-12"
B011M3J,MAJOR,DATA MASKED,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-12"
B011M3J,MAJOR,JB ELMENDORF-RICH,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-12"
B011M3K,LTCOL,ALTUS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3K,LTCOL,DOVER,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3K,LTCOL,JB CHARLESTON,5,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3K,LTCOL,JB ELMENDORF-RICH,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3K,LTCOL,JB PRL HBR-HICKAM,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3K,LTCOL,JBLM MCCHORD,5,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3K,LTCOL,JBMDL MCGUIRE,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3K,LTCOL,PAPA,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3K,LTCOL,TRAVIS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-17"
B011M3L,LTCOL,JB ANDREWS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-20/C-37"
B011M3M,LTCOL,SCOTT,2,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-21"
B011M3Q,LTCOL,JB PRL HBR-HICKAM,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-40"
B011M3Q,MAJOR,SCOTT,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, C-40"
B011M3R,LTCOL,ALTUS,1,"SQUADRON OPERATIONS/OPERATIONS SUPPORT OFFICER, MOBILITY PILOT, KC-46"
B011M3R,LTCOL,JBMDL MCGUIRE,2,"SQUADRON OPERATIONS/OPERATIONS SUPPORT OFFICER, MOBILITY PILOT, KC-46"
B011M3R,LTCOL,MCCONNELL,2,"SQUADRON OPERATIONS/OPERATIONS SUPPORT OFFICER, MOBILITY PILOT, KC-46"
B011M3R,LTCOL,TRAVIS,2,"SQUADRON OPERATIONS/OPERATIONS SUPPORT OFFICER, MOBILITY PILOT, KC-46"
B011M3R,MAJOR,PEASE,1,"SQUADRON OPERATIONS/OPERATIONS SUPPORT OFFICER, MOBILITY PILOT, KC-46"
B011M3R,MAJOR,SEYMOUR JOHNSON,1,"SQUADRON OPERATIONS/OPERATIONS SUPPORT OFFICER, MOBILITY PILOT, KC-46"
B011M3S,LTCOL,BEALE,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,DOBBINS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,FORT WORTH NAS JR,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,HURLBURT FIELD,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,JB ANDREWS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,JBMDL MCGUIRE,7,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,MAXWELL,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,MINNEAPOLIS ST PA,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,PETERSON,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,RAMSTEIN,2,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,TRAVIS,5,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,LTCOL,WRIGHT PATTERSON,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,MAJOR,ANDERSEN,2,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,MAJOR,LITTLE ROCK,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,MAJOR,POPE AAF,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3S,MAJOR,RAMSTEIN,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AIRLIFT, GENERAL"
B011M3T,LTCOL,TRAVIS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, TANKER, GENERAL"
B011M3T,MAJOR,JBMDL DIX,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, TANKER, GENERAL"
B011M3U,LTCOL,JBMDL MCGUIRE,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, AMLO"
B011M3Y,LTCOL,ALTUS,2,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, GENERAL"
B011M3Y,LTCOL,JBMDL MCGUIRE,2,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, GENERAL"
B011M3Y,LTCOL,MACDILL,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, GENERAL"
B011M3Y,LTCOL,POPE AAF,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, GENERAL"
B011M3Y,MAJOR,RAMSTEIN,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, GENERAL"
B011M3Z,LTCOL,JB ANDREWS,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, OTHER"
B011M3Z,LTCOL,RAMSTEIN,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, OTHER"
B011M3Z,LTCOL,WILL ROGERS WORLD,1,"SQ OPS/OPS SPT OFF, MOBILITY PILOT, OTHER"
B011R3A,LTCOL,TINKER,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, E-3"
B011R3B,LTCOL,OFFUTT,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, E-4"
B011R3C,LTCOL,DAVIS-MONTHAN,2,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, EC-130"
B011R3G,LTCOL,OFFUTT,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, RC-135"
B011R3G,MAJOR,GREENVILLE,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, RC-135"
B011R3J,LTCOL,BEALE,4,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, TR-1/U-2"
B011R3J,LTCOL,NELLIS,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, TR-1/U-2"
B011R3J,LTCOL,OSAN AB,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, TR-1/U-2"
B011R3J,MAJOR,BEALE,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, TR-1/U-2"
B011R3Y,LTCOL,GEILENKIRCHEN,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, GENERAL"
B011R3Y,LTCOL,OFFUTT,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, GENERAL"
B011R3Z,LTCOL,ROBINS,1,"SQ OPS/OPS SPT OFF, RECON SURVEIL EW PILOT, OTHER"
B011S3J,LTCOL,CANNON,1,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, CV-22"
B011S3J,LTCOL,KIRTLAND,2,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, CV-22"
B011S3J,LTCOL,MILDENHALL,1,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, CV-22"
B011S3J,LTCOL,YOKOTA,1,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, CV-22"
B011S3M,LTCOL,DATA MASKED,6,"SQ OPS/OPS SPT OFFICER, SPECIAL OPS PILOT, AIR COMMANDO"
B011S3M,LTCOL,DUKE FIELD,1,"SQ OPS/OPS SPT OFFICER, SPECIAL OPS PILOT, AIR COMMANDO"
B011S3M,MAJOR,DATA MASKED,1,"SQ OPS/OPS SPT OFFICER, SPECIAL OPS PILOT, AIR COMMANDO"
B011S3P,LTCOL,CANNON,2,"SQ OPS/OPS SPT OFFICER,  SPECIAL OPS PILOT, MC-130J"
B011S3P,LTCOL,HURLBURT FIELD,1,"SQ OPS/OPS SPT OFFICER,  SPECIAL OPS PILOT, MC-130J"
B011S3P,LTCOL,KADENA,1,"SQ OPS/OPS SPT OFFICER,  SPECIAL OPS PILOT, MC-130J"
B011S3P,MAJOR,KIRTLAND,1,"SQ OPS/OPS SPT OFFICER,  SPECIAL OPS PILOT, MC-130J"
B011S3X,LTCOL,CANNON,2,"SQ OPS/OPS SPT OFFICER, SPECIAL OPS PILOT, U-28"
B011S3X,LTCOL,HURLBURT FIELD,1,"SQ OPS/OPS SPT OFFICER, SPECIAL OPS PILOT, U-28"
B011S3Y,LTCOL,CANNON,1,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, GENERAL"
B011S3Y,LTCOL,DUKE FIELD,1,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, GENERAL"
B011S3Y,LTCOL,HURLBURT FIELD,4,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, GENERAL"
B011S3Y,LTCOL,KADENA,1,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, GENERAL"
B011S3Y,LTCOL,KIRTLAND,1,"SQ OPS/OPS SPT OFF, SPECIAL OPS PILOT, GENERAL"
